source,target,is_chronic_path,gender_f,gender_m,gender_all,age_le_40,age_mid,age_gt_60,age_all,within_02_years,within_05_years,within_10_years,within_all_years,Weight
13,15,0,1,0,1,0,0,1,1,1,1,1,1,13
13,15,0,1,0,1,0,1,0,1,0,1,1,1,1
13,15,0,1,0,1,0,1,0,1,1,1,1,1,15
13,15,0,1,0,1,1,0,0,1,1,1,1,1,2
13,7,0,0,1,1,0,0,1,1,0,1,1,1,1
13,7,0,0,1,1,0,0,1,1,1,1,1,1,18
13,7,0,0,1,1,0,1,0,1,1,1,1,1,1
13,7,0,0,1,1,1,0,0,1,1,1,1,1,1
13,7,0,1,0,1,0,0,1,1,1,1,1,1,14
13,7,0,1,0,1,1,0,0,1,1,1,1,1,1
13,5,0,0,1,1,0,0,1,1,0,0,0,1,2
13,5,0,0,1,1,0,0,1,1,0,0,1,1,1
13,5,0,0,1,1,0,0,1,1,0,1,1,1,2
13,5,0,0,1,1,0,0,1,1,1,1,1,1,72
13,5,0,0,1,1,0,1,0,1,0,1,1,1,1
13,5,0,0,1,1,0,1,0,1,1,1,1,1,1
13,5,0,1,0,1,0,0,1,1,0,0,0,1,2
13,5,0,1,0,1,0,0,1,1,0,0,1,1,2
13,5,0,1,0,1,0,0,1,1,0,1,1,1,11
13,5,0,1,0,1,0,0,1,1,1,1,1,1,93
13,5,0,1,0,1,0,1,0,1,0,0,0,1,2
13,5,0,1,0,1,0,1,0,1,0,1,1,1,2
13,5,0,1,0,1,0,1,0,1,1,1,1,1,26
13,5,0,1,0,1,1,0,0,1,1,1,1,1,2
13,8,0,0,1,1,0,0,1,1,1,1,1,1,43
13,8,0,0,1,1,0,1,0,1,0,0,0,1,1
13,8,0,0,1,1,0,1,0,1,1,1,1,1,4
13,8,0,0,1,1,1,0,0,1,1,1,1,1,1
13,8,0,1,0,1,0,0,1,1,0,1,1,1,1
13,8,0,1,0,1,0,0,1,1,1,1,1,1,59
13,8,0,1,0,1,0,1,0,1,0,0,1,1,1
13,8,0,1,0,1,0,1,0,1,0,1,1,1,8
13,8,0,1,0,1,0,1,0,1,1,1,1,1,24
13,8,0,1,0,1,1,0,0,1,0,1,1,1,1
13,8,0,1,0,1,1,0,0,1,1,1,1,1,6
13,16,0,0,1,1,0,0,1,1,1,1,1,1,1
13,16,0,1,0,1,0,1,0,1,0,1,1,1,1
13,17,0,0,1,1,0,0,1,1,0,1,1,1,2
13,17,0,0,1,1,0,0,1,1,1,1,1,1,87
13,17,0,0,1,1,0,1,0,1,1,1,1,1,7
13,17,0,0,1,1,1,0,0,1,1,1,1,1,4
13,17,0,1,0,1,0,0,1,1,0,0,1,1,1
13,17,0,1,0,1,0,0,1,1,0,1,1,1,11
13,17,0,1,0,1,0,0,1,1,1,1,1,1,86
13,17,0,1,0,1,0,1,0,1,0,0,0,1,1
13,17,0,1,0,1,0,1,0,1,0,1,1,1,5
13,17,0,1,0,1,0,1,0,1,1,1,1,1,26
13,17,0,1,0,1,1,0,0,1,0,0,0,1,1
13,17,0,1,0,1,1,0,0,1,0,1,1,1,1
13,17,0,1,0,1,1,0,0,1,1,1,1,1,14
13,9,0,0,1,1,0,0,1,1,0,1,1,1,2
13,9,0,0,1,1,0,0,1,1,1,1,1,1,2
13,18,0,1,0,1,1,0,0,1,1,1,1,1,1
13,19,0,0,1,1,0,0,1,1,1,1,1,1,2
13,19,0,0,1,1,1,0,0,1,1,1,1,1,1
13,19,0,1,0,1,0,0,1,1,0,1,1,1,6
13,19,0,1,0,1,0,1,0,1,0,1,1,1,6
